"No.","Time","Source","Destination","Protocol","Length","Info"
"80936","257.121666000","140.138.2.109","140.138.148.138","DNS","167","Standard query response 0x7e76 No such name"
"81038","257.749278000","140.138.148.10","224.0.0.252","LLMNR","72","Standard query 0x0842  A STAFFMAILDB3"
"81086","257.849225000","140.138.148.10","224.0.0.252","LLMNR","72","Standard query 0x0842  A STAFFMAILDB3"
"81195","258.113173000","140.138.148.10","224.0.0.252","LLMNR","72","Standard query 0x2a22  A STAFFMAILDB3"
"81205","258.213367000","140.138.148.10","224.0.0.252","LLMNR","72","Standard query 0x2a22  A STAFFMAILDB3"
"81219","258.407909000","fe80::6cc5:a3e9:dd1:ae8c","ff02::1:3","LLMNR","84","Standard query 0xf7d5  A wpad"
"81220","258.407912000","140.138.149.146","224.0.0.252","LLMNR","64","Standard query 0xf7d5  A wpad"
"81228","258.508074000","fe80::6cc5:a3e9:dd1:ae8c","ff02::1:3","LLMNR","84","Standard query 0xf7d5  A wpad"
"81229","258.508076000","140.138.149.146","224.0.0.252","LLMNR","64","Standard query 0xf7d5  A wpad"
"81243","258.635182000","140.138.148.138","140.138.2.109","DNS","100","Standard query 0xb262  A byozdqjtpyeqn10l18awfrbygwgqh64h14ku.biz"
"81248","258.671975000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0xcbe2  A wpad"
"81249","258.673928000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0xcbe2  A wpad"
"81252","258.694089000","140.138.2.109","140.138.148.138","DNS","162","Standard query response 0xb262 No such name"
"81285","258.771115000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0xcbe2  A wpad"
"81286","258.771117000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0xcbe2  A wpad"
"81298","258.930731000","fe80::88c6:5f5:dad3:2965","ff02::1:3","LLMNR","84","Standard query 0x603a  A wpad"
"81299","258.930733000","140.138.148.124","224.0.0.252","LLMNR","64","Standard query 0x603a  A wpad"
"81321","259.030266000","fe80::88c6:5f5:dad3:2965","ff02::1:3","LLMNR","84","Standard query 0x603a  A wpad"
"81322","259.030267000","140.138.148.124","224.0.0.252","LLMNR","64","Standard query 0x603a  A wpad"
"81487","260.199318000","140.138.148.138","140.138.2.109","DNS","101","Standard query 0x24a6  A m49eucxnyarl28ntiugsbsl38jzlqnvb18m39.com"
"81541","260.399175000","140.138.2.109","140.138.148.138","DNS","174","Standard query response 0x24a6 No such name"
"81702","260.960312000","fe80::a16d:ebd7:d5f0:e1c4","ff02::1:3","LLMNR","84","Standard query 0x928c  A wpad"
"81703","260.960313000","140.138.149.157","224.0.0.252","LLMNR","64","Standard query 0x928c  A wpad"
"81742","261.065834000","fe80::a16d:ebd7:d5f0:e1c4","ff02::1:3","LLMNR","84","Standard query 0x928c  A wpad"
"81743","261.065836000","140.138.149.157","224.0.0.252","LLMNR","64","Standard query 0x928c  A wpad"
"81765","261.210512000","fe80::94a1:9e2c:7acc:3ef5","ff02::1:3","LLMNR","84","Standard query 0x37f2  A wpad"
"81766","261.210513000","140.138.148.11","224.0.0.252","LLMNR","64","Standard query 0x37f2  A wpad"
"81769","261.248363000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0x145e  A wpad"
"81770","261.248366000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0x145e  A wpad"
"81776","261.317782000","fe80::94a1:9e2c:7acc:3ef5","ff02::1:3","LLMNR","84","Standard query 0x37f2  A wpad"
"81777","261.317783000","140.138.148.11","224.0.0.252","LLMNR","64","Standard query 0x37f2  A wpad"
"81781","261.348861000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0x145e  A wpad"
"81782","261.348863000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0x145e  A wpad"
"81816","261.587331000","fe80::65db:ed03:ae3d:2351","ff02::1:3","LLMNR","84","Standard query 0x1c4c  A wpad"
"81817","261.587334000","140.138.148.78","224.0.0.252","LLMNR","64","Standard query 0x1c4c  A wpad"
"81830","261.689659000","fe80::65db:ed03:ae3d:2351","ff02::1:3","LLMNR","84","Standard query 0x1c4c  A wpad"
"81831","261.689660000","140.138.148.78","224.0.0.252","LLMNR","64","Standard query 0x1c4c  A wpad"
"81842","261.897363000","140.138.148.138","140.138.2.109","DNS","100","Standard query 0xd799  A g13owlzjxbwl58frf42nvoyhxp22nwb28mubv.ru"
"81843","261.925314000","140.138.2.109","140.138.148.138","DNS","161","Standard query response 0xd799 No such name"
"81949","262.604940000","140.138.148.81","224.0.0.252","LLMNR","64","Standard query 0xf41f  A wpad"
"81950","262.604941000","fe80::91dc:bd1d:2972:e525","ff02::1:3","LLMNR","84","Standard query 0xf41f  A wpad"
"81960","262.679221000","fe80::cde4:517a:da7f:950a","ff02::1:3","LLMNR","89","Standard query 0xa681  A NPIC93AE3"
"81961","262.679224000","140.138.149.77","224.0.0.252","LLMNR","69","Standard query 0xa681  A NPIC93AE3"
"81962","262.679783000","fe80::cde4:517a:da7f:950a","ff02::1:3","LLMNR","89","Standard query 0xf789  AAAA NPIC93AE3"
"81968","262.699641000","fe80::91dc:bd1d:2972:e525","ff02::1:3","LLMNR","84","Standard query 0xf41f  A wpad"
"81969","262.699644000","140.138.148.81","224.0.0.252","LLMNR","64","Standard query 0xf41f  A wpad"
"81997","262.935679000","fe80::9440:3a13:5b9d:2ff6","ff02::1:3","LLMNR","84","Standard query 0x4c6a  A wpad"
"81998","262.935681000","140.138.149.167","224.0.0.252","LLMNR","64","Standard query 0x4c6a  A wpad"
"82013","263.045167000","fe80::9440:3a13:5b9d:2ff6","ff02::1:3","LLMNR","84","Standard query 0x4c6a  A wpad"
"82014","263.045170000","140.138.149.167","224.0.0.252","LLMNR","64","Standard query 0x4c6a  A wpad"
"82096","263.438804000","140.138.148.138","140.138.2.109","DNS","103","Standard query 0x840e  A k67mzdqb28bzpxful18duirfsjqm29l48e31e51.com"
"82111","263.622479000","140.138.2.109","140.138.148.138","DNS","176","Standard query response 0x840e No such name"
